TrainNumber,StationName,StationCode,ArrivalTime,DepartureTime,Distance,Weather,FestivalImpact,DepartureHour,SyntheticDelay(min)
12002,NEW DELHI,NDLS,06:00:00,06:00:00,0,Storm,None,6,76.0
12002,MATHURA JN.,MTJ,07:23:00,07:24:00,137,Fog,FestivalDay,7,67.0
12002,AGRA CANTT,AGC,07:57:00,08:02:00,191,Clear,None,8,8.0
12002,DHAULPUR,DHO,08:41:00,08:42:00,243,Storm,FestivalDay,8,110.0
12002,MORENA,MRA,09:01:00,09:02:00,259,Clear,FestivalDay,9,28.0
12002,GWALIOR JN,GWL,09:28:00,09:33:00,298,Rain,None,9,38.0
12002,JHANSI JN,JHS,10:43:00,10:51:00,395,Storm,FestivalDay,10,91.0
12002,LALITPUR,LAR,11:39:00,11:41:00,483,Clear,None,11,22.0
12002,BHOPAL,BPL,13:50:00,13:55:00,684,Rain,NearFestival,13,59.0
12002,HABIBGANJ,HBJ,14:25:00,14:25:00,690,Rain,FestivalDay,14,58.0
12245,HOWRAH JN.,HWH,10:55:00,10:55:00,0,Storm,FestivalDay,10,62.0
12245,BHUBANESWAR,BBS,16:50:00,17:00:00,442,Fog,NearFestival,17,73.0
12245,VIZIANAGARAM,VZM,22:00:00,22:10:00,823,Rain,NearFestival,22,62.0
12245,VIJAYWADA JN,BZA,04:30:00,04:45:00,1221,Clear,None,4,32.0
12245,RENIGUNTA JN,RU,10:10:00,10:15:00,1597,Rain,FestivalDay,10,95.0
12245,YESVANTPUR J,YPR,16:00:00,16:00:00,1957,Storm,NearFestival,16,120.0
12301,HOWRAH JN.,HWH,16:55:00,16:55:00,0,Rain,NearFestival,16,62.0
12301,DHANBAD JN.,DHN,19:55:00,20:00:00,258,Storm,FestivalDay,20,114.0
12301,PARASNATH,PNME,20:37:00,20:39:00,305,Rain,None,20,41.0
12301,GAYA JN.,GAYA,22:34:00,22:37:00,456,Clear,FestivalDay,22,46.0
12301,MUGHAL SARAI,MGS,00:45:00,00:55:00,660,Clear,None,0,28.0
12301,ALLAHABAD JN,ALD,02:43:00,02:46:00,813,Storm,NearFestival,2,114.0
12301,KANPUR CENTR,CNB,04:45:00,04:53:00,1007,Rain,None,4,32.0
12301,NEW DELHI,NDLS,10:00:00,10:00:00,1438,Clear,FestivalDay,10,71.0
12305,HOWRAH JN.,HWH,14:05:00,14:05:00,0,Rain,NearFestival,14,58.0
12305,BARDDHAMAN J,BWN,15:06:00,15:08:00,94,Clear,None,15,0.0
12305,MADHUPUR JN.,MDP,17:11:00,17:15:00,280,Clear,NearFestival,17,37.0
12305,JASIDIH JN.,JSME,17:40:00,17:44:00,309,Storm,NearFestival,17,120.0
12305,PATNA JN.,PNBE,21:00:00,21:10:00,530,Storm,None,21,110.0
12305,MUGHAL SARAI,MGS,00:42:00,00:52:00,738,Rain,NearFestival,0,63.0
12305,ALLAHABAD JN,ALD,02:43:00,02:46:00,891,Fog,NearFestival,2,86.0
12305,KANPUR CENTR,CNB,04:45:00,04:53:00,1085,Clear,None,4,24.0
12305,NEW DELHI,NDLS,10:00:00,10:00:00,1516,Storm,NearFestival,10,181.0
12306,NEW DELHI,NDLS,16:55:00,16:55:00,0,Fog,None,16,28.0
12306,KANPUR CENTR,CNB,21:35:00,21:40:00,430,Clear,None,21,41.0
12306,ALLAHABAD JN,ALD,23:40:00,23:43:00,624,Clear,FestivalDay,23,46.0
12306,MUGHAL SARAI,MGS,01:43:00,01:53:00,777,Rain,NearFestival,1,56.0
12306,PATNA JN.,PNBE,04:30:00,04:40:00,985,Clear,NearFestival,4,70.0
12306,JASIDIH JN.,JSME,08:10:00,08:14:00,1206,Storm,FestivalDay,8,112.0
12306,MADHUPUR JN.,MDP,08:39:00,08:41:00,1235,Rain,None,8,47.0
12306,BARDDHAMAN J,BWN,10:55:00,10:57:00,1422,Rain,FestivalDay,10,68.0
12306,HOWRAH JN.,HWH,12:15:00,12:15:00,1517,Storm,FestivalDay,12,128.0
12801,PURI,PURI,21:45:00,21:45:00,0,Fog,FestivalDay,21,70.0
12801,KHURDA ROAD,KUR,22:25:00,22:30:00,43,Storm,FestivalDay,22,125.0
12801,BHUBANESWAR,BBS,22:55:00,23:00:00,62,Clear,FestivalDay,23,27.0
12801,CUTTACK JN.,CTC,23:30:00,23:35:00,89,Fog,FestivalDay,23,62.0
12801,JAJPUR KEONJ,JJKR,00:28:00,00:30:00,161,Clear,None,0,7.0
12801,BHADRAKH,BHC,01:28:00,01:30:00,205,Fog,None,1,41.0
12801,BALASORE,BLS,02:15:00,02:20:00,267,Clear,NearFestival,2,55.0
12801,KHARAGPUR,KGP,03:55:00,04:20:00,388,Storm,None,4,81.0
12801,GHATSILA,GTS,05:35:00,05:36:00,486,Rain,FestivalDay,5,52.0
12801,TATANAGAR JN,TATA,06:30:00,06:40:00,525,Fog,None,6,37.0
12801,CHANDIL JN.,CNI,07:40:00,07:42:00,562,Fog,NearFestival,7,94.0
12801,PURULIA JN.,PRR,08:23:00,08:25:00,615,Rain,FestivalDay,8,53.0
12801,BOKARO STEEL,BKSC,09:35:00,09:40:00,677,Rain,None,9,31.0
12801,CHANDRAPURA,CRP,10:26:00,10:28:00,692,Rain,None,10,57.0
12801,NSC BOSE J G,GMO,10:50:00,11:00:00,708,Rain,None,11,31.0
12801,PARASNATH,PNME,11:19:00,11:21:00,726,Fog,NearFestival,11,82.0
12801,HAZARIBAGH R,HZD,11:40:00,11:42:00,753,Rain,None,11,39.0
12801,KODERMA,KQR,12:20:00,12:22:00,802,Rain,NearFestival,12,89.0
12801,PAHARPUR,PRP,12:57:00,12:59:00,846,Rain,NearFestival,12,83.0
12801,GAYA JN.,GAYA,13:57:00,14:02:00,878,Storm,None,14,114.0
12801,ANUGRAH NARA,AUBR,14:46:00,14:48:00,947,Clear,FestivalDay,14,62.0
12801,DEHRI-ON-SON,DOS,15:02:00,15:04:00,963,Rain,FestivalDay,15,75.0
