StationName,StationCode,ArrivalTime,DepartureTime,Distance,TrainNumber
MUMBAI CENTR,BCT,21:25:00,21:25:00,0,12903
BORIVLI,BVI,21:57:00,22:01:00,29,12903
SURAT,ST,01:00:00,01:05:00,262,12903
VADODARA JN.,BRC,02:46:00,02:56:00,391,12903
GODHRA JN.,GDA,04:10:00,04:12:00,463,12903
DAHOD,DHD,05:05:00,05:07:00,537,12903
MEGHNAGAR,MGN,05:29:00,05:31:00,570,12903
RATLAM JN,RTM,07:05:00,07:15:00,652,12903
NAGDA JN,NAD,08:10:00,08:12:00,697,12903
SHAMGARH,SGZ,09:12:00,09:14:00,788,12903
BHAWANI MAND,BWM,09:39:00,09:40:00,818,12903
KOTA,KOTA,11:00:00,11:05:00,918,12903
SAWAI MADHOP,SWM,12:25:00,12:30:00,1026,12903
GANGAPUR CIT,GGC,13:20:00,13:25:00,1089,12903
SHRI MAHABIR,SMBJ,13:48:00,13:50:00,1119,12903
HINDAUN CITY,HAN,14:00:00,14:02:00,1130,12903
BAYANA,BXN,14:28:00,14:30:00,1162,12903
BHARATPUR JN,BTE,15:00:00,15:02:00,1204,12903
MATHURA JN.,MTJ,16:15:00,16:20:00,1238,12903
FARIDABAD,FDB,18:04:00,18:06:00,1348,12903
HAZRAT NIZAM,NZM,18:45:00,19:00:00,1366,12903
GHAZIABAD JN,GZB,19:51:00,19:53:00,1394,12903
MEERUT CITY,MTC,21:05:00,21:10:00,1441,12903
MEERUT CANT,MUT,21:15:00,21:17:00,1445,12903
MUZAFFARNAGA,MOZ,21:51:00,21:53:00,1496,12903
SAHARANPUR J,SRE,23:15:00,23:25:00,1554,12903
YAMUNANAGER,YJUD,23:52:00,23:55:00,1585,12903
AMBALA CANTT,UMB,00:45:00,00:55:00,1636,12903
LUDHIANA JN.,LDH,02:37:00,02:47:00,1749,12903
PHAGWARA JN.,PGW,03:18:00,03:20:00,1785,12903
JALANDHAR CA,JRC,03:36:00,03:38:00,1801,12903
JALANDHAR CI,JUC,03:52:00,03:57:00,1806,12903
BEAS JN,BEAS,04:29:00,04:31:00,1842,12903
AMRITSAR JN.,ASR,05:30:00,05:30:00,1885,12903
