TrainNumber,StationName,StationCode,ArrivalTime,DepartureTime,Distance
12953,MUMBAI CENTR,BCT,17:40:00,17:40:00,0
12953,ANDHERI,ADH,18:02:00,18:03:00,17
12953,BORIVLI,BVI,18:16:00,18:19:00,29
12953,VAPI,VAPI,19:40:00,19:42:00,169
12953,VALSAD,BL,20:02:00,20:05:00,193
12953,SURAT,ST,20:50:00,20:55:00,262
12953,BHARUCH JN.,BH,21:32:00,21:33:00,321
12953,VADODARA JN.,BRC,22:21:00,22:31:00,391
12953,RATLAM JN,RTM,02:18:00,02:20:00,652
12953,KOTA,KOTA,05:10:00,05:20:00,918
12953,SAWAI MADHOP,SWM,06:26:00,06:28:00,1026
12953,MATHURA JN.,MTJ,09:00:00,09:02:00,1238
12953,HAZRAT NIZAM,NZM,10:55:00,10:55:00,1366
