TrainNumber,StationName,StationCode,ArrivalTime,DepartureTime,Distance
12002,NEW DELHI,NDLS,06:00:00,06:00:00,0
12002,MATHURA JN.,MTJ,07:23:00,07:24:00,137
12002,AGRA CANTT,AGC,07:57:00,08:02:00,191
12002,DHAULPUR,DHO,08:41:00,08:42:00,243
12002,MORENA,MRA,09:01:00,09:02:00,259
12002,GWALIOR JN,GWL,09:28:00,09:33:00,298
12002,JHANSI JN,JHS,10:43:00,10:51:00,395
12002,LALITPUR,LAR,11:39:00,11:41:00,483
12002,BHOPAL,BPL,13:50:00,13:55:00,684
12002,HABIBGANJ,HBJ,14:25:00,14:25:00,690
12245,HOWRAH JN.,HWH,10:55:00,10:55:00,0
12245,BHUBANESWAR,BBS,16:50:00,17:00:00,442
12245,VIZIANAGARAM,VZM,22:00:00,22:10:00,823
12245,VIJAYWADA JN,BZA,04:30:00,04:45:00,1221
12245,RENIGUNTA JN,RU,10:10:00,10:15:00,1597
12245,YESVANTPUR J,YPR,16:00:00,16:00:00,1957
12301,HOWRAH JN.,HWH,16:55:00,16:55:00,0
12301,DHANBAD JN.,DHN,19:55:00,20:00:00,258
12301,PARASNATH,PNME,20:37:00,20:39:00,305
12301,GAYA JN.,GAYA,22:34:00,22:37:00,456
12301,MUGHAL SARAI,MGS,00:45:00,00:55:00,660
12301,ALLAHABAD JN,ALD,02:43:00,02:46:00,813
12301,KANPUR CENTR,CNB,04:45:00,04:53:00,1007
12301,NEW DELHI,NDLS,10:00:00,10:00:00,1438
12305,HOWRAH JN.,HWH,14:05:00,14:05:00,0
12305,BARDDHAMAN J,BWN,15:06:00,15:08:00,94
12305,MADHUPUR JN.,MDP,17:11:00,17:15:00,280
12305,JASIDIH JN.,JSME,17:40:00,17:44:00,309
12305,PATNA JN.,PNBE,21:00:00,21:10:00,530
12305,MUGHAL SARAI,MGS,00:42:00,00:52:00,738
12305,ALLAHABAD JN,ALD,02:43:00,02:46:00,891
12305,KANPUR CENTR,CNB,04:45:00,04:53:00,1085
12305,NEW DELHI,NDLS,10:00:00,10:00:00,1516
12306,NEW DELHI,NDLS,16:55:00,16:55:00,0
12306,KANPUR CENTR,CNB,21:35:00,21:40:00,430
12306,ALLAHABAD JN,ALD,23:40:00,23:43:00,624
12306,MUGHAL SARAI,MGS,01:43:00,01:53:00,777
12306,PATNA JN.,PNBE,04:30:00,04:40:00,985
12306,JASIDIH JN.,JSME,08:10:00,08:14:00,1206
12306,MADHUPUR JN.,MDP,08:39:00,08:41:00,1235
12306,BARDDHAMAN J,BWN,10:55:00,10:57:00,1422
12306,HOWRAH JN.,HWH,12:15:00,12:15:00,1517
12801,PURI,PURI,21:45:00,21:45:00,0
12801,KHURDA ROAD,KUR,22:25:00,22:30:00,43
12801,BHUBANESWAR,BBS,22:55:00,23:00:00,62
12801,CUTTACK JN.,CTC,23:30:00,23:35:00,89
12801,JAJPUR KEONJ,JJKR,00:28:00,00:30:00,161
12801,BHADRAKH,BHC,01:28:00,01:30:00,205
12801,BALASORE,BLS,02:15:00,02:20:00,267
12801,KHARAGPUR,KGP,03:55:00,04:20:00,388
12801,GHATSILA,GTS,05:35:00,05:36:00,486
12801,TATANAGAR JN,TATA,06:30:00,06:40:00,525
12801,CHANDIL JN.,CNI,07:40:00,07:42:00,562
12801,PURULIA JN.,PRR,08:23:00,08:25:00,615
12801,BOKARO STEEL,BKSC,09:35:00,09:40:00,677
12801,CHANDRAPURA,CRP,10:26:00,10:28:00,692
12801,NSC BOSE J G,GMO,10:50:00,11:00:00,708
12801,PARASNATH,PNME,11:19:00,11:21:00,726
12801,HAZARIBAGH R,HZD,11:40:00,11:42:00,753
12801,KODERMA,KQR,12:20:00,12:22:00,802
12801,PAHARPUR,PRP,12:57:00,12:59:00,846
12801,GAYA JN.,GAYA,13:57:00,14:02:00,878
12801,ANUGRAH NARA,AUBR,14:46:00,14:48:00,947
12801,DEHRI-ON-SON,DOS,15:02:00,15:04:00,963
12801,SASARAM,SSM,15:18:00,15:20:00,981
12801,BHABUA ROAD,BBU,15:51:00,15:53:00,1028
12801,MUGHAL SARAI,MGS,17:05:00,17:20:00,1082
12801,CHUNAR JN.,CAR,17:58:00,18:00:00,1114
12801,MIRZAPUR,MZP,18:22:00,18:24:00,1145
12801,ALLAHABAD JN,ALD,19:40:00,19:50:00,1235
12801,FATEHPUR,FTP,20:58:00,21:00:00,1351
12801,KANPUR CENTR,CNB,22:05:00,22:10:00,1429
12801,GHAZIABAD JN,GZB,03:30:00,03:32:00,1834
12801,NEW DELHI,NDLS,04:25:00,04:25:00,1860
12860,HOWRAH JN.,HWH,13:50:00,13:50:00,0
12860,KHARAGPUR,KGP,15:30:00,15:35:00,116
12860,TATANAGAR JN,TATA,17:25:00,17:32:00,254
12860,CHAKARADHARP,CKP,18:26:00,18:28:00,316
12860,ROURKELA,ROU,19:50:00,20:05:00,413
12860,JHARSUGUDA J,JSG,21:41:00,21:43:00,514
12860,RAIGARH,RIG,22:29:00,22:31:00,587
12860,BILASPUR JN.,BSP,00:30:00,00:45:00,720
12860,RAIPUR JN.,R,02:15:00,02:25:00,829
12860,DURG,DURG,03:20:00,03:25:00,872
12860,RAJNANDGAON,RJN,03:46:00,03:48:00,902
12860,GONDIA JN.,G,05:13:00,05:15:00,1006
12860,BHANDARA RD,BRD,06:00:00,06:02:00,1074
12860,NAGPUR JN.(C,NGP,07:20:00,07:30:00,1137
12860,WARDHA JN.,WR,08:32:00,08:35:00,1216
12860,BADNERA JN.,BD,10:07:00,10:10:00,1311
12860,AKOLA JN.,AK,11:10:00,11:15:00,1390
12860,SHEGAON,SEG,11:44:00,11:45:00,1427
