Train Number,Date,Distance,Weather,FestivalImpact,TimeOfDay,DelayMinutes
12002,2024-01-01,690,Rain,FestivalEve,Day,71
12002,2024-01-02,690,Rain,None,Evening,44
12002,2024-01-03,690,Fog,FestivalDay,Morning,61
12002,2024-01-04,690,Storm,None,Evening,80
12002,2024-01-05,690,Storm,FestivalDay,Day,91
12002,2024-01-06,690,Fog,FestivalEve,Morning,82
12002,2024-01-07,690,Clear,FestivalDay,Day,49
12002,2024-01-08,690,Rain,FestivalDay,Night,58
12002,2024-01-09,690,Rain,None,Morning,34
12002,2024-01-10,690,Fog,FestivalEve,Day,76
12002,2024-01-11,690,Storm,FestivalDay,Morning,106
12002,2024-01-12,690,Storm,None,Night,95
12002,2024-01-13,690,Rain,FestivalDay,Night,55
12002,2024-01-14,690,Fog,None,Night,51
12002,2024-01-15,690,Rain,None,Morning,34
12002,2024-01-16,690,Storm,None,Day,108
12002,2024-01-17,690,Fog,FestivalEve,Evening,80
12002,2024-01-18,690,Fog,FestivalEve,Night,78
12002,2024-01-19,690,Rain,None,Day,37
12002,2024-01-20,690,Clear,FestivalDay,Morning,27
12002,2024-01-21,690,Rain,FestivalDay,Day,60
12002,2024-01-22,690,Clear,None,Night,9
12002,2024-01-23,690,Fog,FestivalEve,Night,69
12002,2024-01-24,690,Clear,FestivalEve,Night,54
12002,2024-01-25,690,Fog,None,Night,49
12002,2024-01-26,690,Rain,FestivalEve,Day,68
12002,2024-01-27,690,Storm,FestivalEve,Morning,134
12002,2024-01-28,690,Storm,FestivalDay,Night,115
12002,2024-01-29,690,Rain,FestivalEve,Morning,74
12002,2024-01-30,690,Storm,FestivalDay,Morning,92
12002,2024-01-31,690,Storm,FestivalEve,Night,118
12002,2024-02-01,690,Clear,None,Evening,29
12002,2024-02-02,690,Storm,FestivalDay,Morning,81
12002,2024-02-03,690,Storm,None,Night,69
12002,2024-02-04,690,Rain,None,Morning,31
12002,2024-02-05,690,Fog,None,Evening,57
12002,2024-02-06,690,Fog,FestivalEve,Evening,83
12002,2024-02-07,690,Fog,FestivalEve,Morning,100
12002,2024-02-08,690,Clear,None,Morning,12
12002,2024-02-09,690,Clear,None,Evening,20
12002,2024-02-10,690,Fog,None,Day,39
12002,2024-02-11,690,Rain,FestivalDay,Morning,54
12002,2024-02-12,690,Fog,None,Morning,59
12002,2024-02-13,690,Storm,FestivalDay,Morning,78
12002,2024-02-14,690,Fog,FestivalDay,Morning,82
12002,2024-02-15,690,Storm,FestivalDay,Evening,134
12002,2024-02-16,690,Storm,FestivalDay,Evening,133
12002,2024-02-17,690,Rain,None,Evening,42
12002,2024-02-18,690,Fog,None,Day,52
12002,2024-02-19,690,Fog,FestivalDay,Day,85
12002,2024-02-20,690,Rain,FestivalEve,Day,61
12002,2024-02-21,690,Rain,FestivalDay,Night,58
12002,2024-02-22,690,Clear,FestivalDay,Evening,43
12002,2024-02-23,690,Rain,FestivalEve,Day,86
12002,2024-02-24,690,Fog,FestivalEve,Morning,89
12002,2024-02-25,690,Fog,FestivalEve,Day,70
12002,2024-02-26,690,Clear,FestivalDay,Morning,34
12002,2024-02-27,690,Rain,None,Night,35
12002,2024-02-28,690,Fog,FestivalEve,Day,84
12002,2024-02-29,690,Clear,FestivalEve,Evening,69
12002,2024-03-01,690,Clear,None,Night,18
12002,2024-03-02,690,Clear,FestivalEve,Night,60
12002,2024-03-03,690,Fog,FestivalDay,Day,71
12002,2024-03-04,690,Fog,FestivalEve,Evening,81
12002,2024-03-05,690,Clear,None,Evening,37
12002,2024-03-06,690,Storm,FestivalEve,Day,103
12002,2024-03-07,690,Rain,None,Night,36
12002,2024-03-08,690,Storm,FestivalEve,Night,95
12002,2024-03-09,690,Fog,None,Morning,42
12002,2024-03-10,690,Fog,FestivalDay,Night,83
12002,2024-03-11,690,Rain,FestivalDay,Morning,55
12002,2024-03-12,690,Rain,None,Evening,41
12002,2024-03-13,690,Storm,None,Night,72
12002,2024-03-14,690,Rain,FestivalEve,Morning,91
12002,2024-03-15,690,Clear,FestivalEve,Morning,40
12002,2024-03-16,690,Rain,FestivalDay,Night,47
12002,2024-03-17,690,Rain,FestivalEve,Night,65
12002,2024-03-18,690,Clear,None,Day,25
12002,2024-03-19,690,Fog,FestivalEve,Day,100
12002,2024-03-20,690,Rain,FestivalEve,Morning,68
12002,2024-03-21,690,Clear,FestivalDay,Evening,62
12002,2024-03-22,690,Rain,FestivalEve,Night,87
12002,2024-03-23,690,Storm,None,Night,109
12002,2024-03-24,690,Fog,None,Evening,60
12002,2024-03-25,690,Rain,None,Night,33
12002,2024-03-26,690,Fog,None,Night,53
12002,2024-03-27,690,Storm,None,Day,96
12002,2024-03-28,690,Rain,FestivalEve,Night,61
12002,2024-03-29,690,Fog,FestivalDay,Morning,88
12002,2024-03-30,690,Rain,FestivalEve,Night,65
12002,2024-03-31,690,Fog,FestivalDay,Evening,82
12002,2024-04-01,690,Storm,FestivalDay,Morning,89
12002,2024-04-02,690,Rain,None,Day,35
12002,2024-04-03,690,Fog,FestivalEve,Night,58
12002,2024-04-04,690,Rain,FestivalEve,Night,47
12002,2024-04-05,690,Storm,FestivalDay,Day,96
12002,2024-04-06,690,Rain,FestivalDay,Evening,65
12002,2024-04-07,690,Rain,FestivalDay,Day,54
12002,2024-04-08,690,Clear,FestivalEve,Night,48
12002,2024-04-09,690,Rain,FestivalDay,Evening,87
12002,2024-04-10,690,Fog,FestivalDay,Day,74
12002,2024-04-11,690,Clear,FestivalEve,Evening,86
12002,2024-04-12,690,Storm,FestivalDay,Evening,124
12002,2024-04-13,690,Storm,FestivalEve,Morning,130
12002,2024-04-14,690,Storm,None,Evening,106
12002,2024-04-15,690,Rain,None,Evening,53
12002,2024-04-16,690,Clear,FestivalEve,Night,67
12002,2024-04-17,690,Rain,FestivalDay,Evening,77
12002,2024-04-18,690,Fog,FestivalEve,Day,98
12002,2024-04-19,690,Fog,FestivalEve,Day,91
12002,2024-04-20,690,Rain,None,Day,46
12002,2024-04-21,690,Fog,None,Night,38
12002,2024-04-22,690,Rain,FestivalEve,Morning,57
12002,2024-04-23,690,Storm,FestivalEve,Day,146
12002,2024-04-24,690,Rain,None,Morning,24
12002,2024-04-25,690,Storm,None,Night,72
12002,2024-04-26,690,Storm,FestivalEve,Evening,148
12002,2024-04-27,690,Storm,None,Day,65
12002,2024-04-28,690,Fog,FestivalDay,Day,74
12002,2024-04-29,690,Fog,FestivalDay,Morning,69
12002,2024-04-30,690,Storm,FestivalDay,Night,96
12002,2024-05-01,690,Fog,FestivalDay,Evening,95
12002,2024-05-02,690,Storm,None,Evening,66
12002,2024-05-03,690,Storm,FestivalEve,Night,132
12002,2024-05-04,690,Fog,FestivalEve,Morning,81
12002,2024-05-05,690,Fog,None,Night,43
12002,2024-05-06,690,Rain,FestivalEve,Day,62
12002,2024-05-07,690,Clear,FestivalEve,Day,58
12002,2024-05-08,690,Clear,FestivalEve,Day,60
12002,2024-05-09,690,Rain,None,Night,41
12002,2024-05-10,690,Clear,FestivalEve,Night,68
12002,2024-05-11,690,Storm,FestivalDay,Evening,122
12002,2024-05-12,690,Fog,FestivalEve,Night,86
12002,2024-05-13,690,Fog,None,Evening,56
12002,2024-05-14,690,Storm,None,Morning,104
12002,2024-05-15,690,Rain,None,Morning,38
12002,2024-05-16,690,Clear,FestivalDay,Morning,46
12002,2024-05-17,690,Clear,FestivalEve,Day,49
12002,2024-05-18,690,Fog,None,Evening,59
12002,2024-05-19,690,Storm,None,Evening,97
12002,2024-05-20,690,Rain,FestivalDay,Day,68
12002,2024-05-21,690,Clear,None,Night,26
12002,2024-05-22,690,Rain,FestivalDay,Day,50
12002,2024-05-23,690,Fog,FestivalDay,Morning,59
12002,2024-05-24,690,Storm,FestivalEve,Day,124
12002,2024-05-25,690,Rain,FestivalEve,Evening,80
12002,2024-05-26,690,Clear,None,Evening,36
12002,2024-05-27,690,Rain,None,Evening,38
12002,2024-05-28,690,Rain,None,Night,16
12002,2024-05-29,690,Fog,FestivalEve,Night,93
12002,2024-05-30,690,Fog,None,Night,59
12002,2024-05-31,690,Rain,FestivalDay,Day,56
12002,2024-06-01,690,Rain,FestivalEve,Night,70
12002,2024-06-02,690,Fog,FestivalEve,Night,84
12002,2024-06-03,690,Rain,FestivalEve,Night,57
12002,2024-06-04,690,Fog,FestivalEve,Night,69
12002,2024-06-05,690,Storm,FestivalDay,Day,117
12002,2024-06-06,690,Fog,None,Evening,54
12002,2024-06-07,690,Fog,None,Morning,52
12002,2024-06-08,690,Fog,FestivalDay,Morning,76
12002,2024-06-09,690,Rain,FestivalEve,Morning,72
12002,2024-06-10,690,Fog,FestivalDay,Day,69
12002,2024-06-11,690,Storm,None,Day,101
12002,2024-06-12,690,Clear,FestivalDay,Night,54
12002,2024-06-13,690,Fog,None,Night,56
12002,2024-06-14,690,Storm,FestivalEve,Day,152
12002,2024-06-15,690,Rain,FestivalEve,Day,64
12002,2024-06-16,690,Fog,None,Night,48
12002,2024-06-17,690,Rain,FestivalEve,Morning,52
12002,2024-06-18,690,Clear,None,Evening,23
12002,2024-06-19,690,Rain,FestivalDay,Morning,59
12002,2024-06-20,690,Rain,FestivalDay,Morning,50
12002,2024-06-21,690,Rain,FestivalEve,Night,70
12002,2024-06-22,690,Rain,None,Day,36
12002,2024-06-23,690,Rain,None,Morning,39
12002,2024-06-24,690,Rain,None,Morning,28
12002,2024-06-25,690,Storm,FestivalDay,Morning,107
12002,2024-06-26,690,Clear,None,Day,29
12002,2024-06-27,690,Clear,FestivalEve,Evening,53
12002,2024-06-28,690,Fog,None,Night,43
12002,2024-06-29,690,Storm,None,Evening,83
12002,2024-06-30,690,Fog,None,Night,51
12002,2024-07-01,690,Rain,None,Night,43
12002,2024-07-02,690,Fog,FestivalEve,Day,87
12002,2024-07-03,690,Clear,FestivalEve,Night,48
12002,2024-07-04,690,Rain,FestivalEve,Night,47
12002,2024-07-05,690,Storm,None,Morning,122
12002,2024-07-06,690,Rain,None,Day,36
12002,2024-07-07,690,Clear,FestivalDay,Night,52
12002,2024-07-08,690,Clear,FestivalDay,Day,30
12002,2024-07-09,690,Rain,FestivalEve,Morning,60
12002,2024-07-10,690,Clear,None,Day,38
12002,2024-07-11,690,Clear,None,Night,19
12002,2024-07-12,690,Clear,FestivalEve,Evening,70
12002,2024-07-13,690,Rain,None,Evening,55
12002,2024-07-14,690,Rain,FestivalDay,Evening,68
12002,2024-07-15,690,Rain,None,Evening,52
12002,2024-07-16,690,Fog,FestivalDay,Morning,70
12002,2024-07-17,690,Storm,FestivalEve,Evening,135
12002,2024-07-18,690,Rain,None,Evening,59
12002,2024-07-19,690,Fog,FestivalDay,Day,74
