TrainNumber,StationName,StationCode,ArrivalTime,DepartureTime,Distance
12860,HOWRAH JN.,HWH,13:50:00,13:50:00,0
12860,KHARAGPUR,KGP,15:30:00,15:35:00,116
12860,TATANAGAR JN,TATA,17:25:00,17:32:00,254
12860,CHAKARADHARP,CKP,18:26:00,18:28:00,316
12860,ROURKELA,ROU,19:50:00,20:05:00,413
12860,JHARSUGUDA J,JSG,21:41:00,21:43:00,514
12860,RAIGARH,RIG,22:29:00,22:31:00,587
12860,BILASPUR JN.,BSP,00:30:00,00:45:00,720
12860,RAIPUR JN.,R,02:15:00,02:25:00,829
12860,DURG,DURG,03:20:00,03:25:00,872
12860,RAJNANDGAON,RJN,03:46:00,03:48:00,902
12860,GONDIA JN.,G,05:13:00,05:15:00,1006
12860,BHANDARA RD,BRD,06:00:00,06:02:00,1074
12860,NAGPUR JN.(C,NGP,07:20:00,07:30:00,1137
12860,WARDHA JN.,WR,08:32:00,08:35:00,1216
12860,BADNERA JN.,BD,10:07:00,10:10:00,1311
12860,AKOLA JN.,AK,11:10:00,11:15:00,1390
12860,SHEGAON,SEG,11:44:00,11:45:00,1427
12860,MALKAPUR,MKU,12:19:00,12:20:00,1479
12860,BHUSAVAL JN.,BSL,13:10:00,13:20:00,1534
12860,JALGAON JN.,JL,13:43:00,13:45:00,1559
12860,NASIK ROAD,NK,16:20:00,16:25:00,1792
12860,IGATPURI,IGP,18:10:00,18:15:00,1842
12860,KALYAN JN,KYN,20:02:00,20:05:00,1925
12860,DADAR,DR,20:47:00,20:50:00,1970
12860,CST-MUMBAI,CSMT,21:20:00,21:20:00,1979
